year,area,age_group,day_consultations,modality,priority,center_id,professional_type,total_hours,total_area_hours,weight,day_consultations_center
2021,Cartagena,20-24,63,In-person,0,133,GP,237.1589187525109,4932.905510052229,0.04807692307692306,3
2021,Cartagena,20-24,63,In-person,0,134,GP,213.44302687725983,4932.905510052229,0.043269230769230754,3
2021,Cartagena,20-24,63,In-person,0,151,GP,260.87481062776203,4932.905510052229,0.05288461538461537,3
2021,Cartagena,20-24,63,In-person,0,154,GP,118.57945937625547,4932.905510052229,0.02403846153846153,2
2021,Cartagena,20-24,63,In-person,0,235,GP,308.3065943782642,4932.905510052229,0.06249999999999998,4
2021,Cartagena,20-24,63,In-person,0,236,GP,355.7383781287664,4932.905510052229,0.07211538461538458,5
2021,Cartagena,20-24,63,In-person,0,266,GP,71.1476756257533,4932.905510052229,0.01442307692307692,1
2021,Cartagena,20-24,63,In-person,0,269,GP,94.86356750100438,4932.905510052229,0.019230769230769225,1
2021,Cartagena,20-24,63,In-person,0,271,GP,71.1476756257533,4932.905510052229,0.01442307692307692,1
2021,Cartagena,25-29,62,In-person,0,95,GP,308.3065943782642,4932.905510052229,0.06249999999999998,4
2021,Cartagena,25-29,62,In-person,0,96,GP,355.7383781287664,4932.905510052229,0.07211538461538458,4
2021,Cartagena,25-29,62,In-person,0,99,GP,355.7383781287664,4932.905510052229,0.07211538461538458,4
2021,Cartagena,25-29,62,In-person,0,102,GP,71.1476756257533,4932.905510052229,0.01442307692307692,1
2021,Cartagena,25-29,62,In-person,0,103,GP,71.1476756257533,4932.905510052229,0.01442307692307692,1
2021,Cartagena,25-29,62,In-person,0,109,GP,47.43178375050219,4932.905510052229,0.009615384615384612,1
2021,Cartagena,25-29,62,In-person,0,111,GP,142.29535125150656,4932.905510052229,0.028846153846153837,2
2021,Cartagena,25-29,62,In-person,0,112,GP,308.3065943782642,4932.905510052229,0.06249999999999998,4
2021,Cartagena,25-29,62,In-person,0,113,GP,71.1476756257533,4932.905510052229,0.01442307692307692,1
2021,Cartagena,25-29,62,In-person,0,116,GP,94.86356750100438,4932.905510052229,0.019230769230769225,1
2021,Cartagena,25-29,62,In-person,0,117,GP,118.57945937625547,4932.905510052229,0.02403846153846153,1
2021,Cartagena,25-29,62,In-person,0,118,GP,71.1476756257533,4932.905510052229,0.01442307692307692,1
2021,Cartagena,25-29,62,In-person,0,119,GP,47.43178375050219,4932.905510052229,0.009615384615384612,1
2021,Cartagena,25-29,62,In-person,0,121,GP,118.57945937625547,4932.905510052229,0.02403846153846153,1
2021,Cartagena,25-29,62,In-person,0,122,GP,47.43178375050219,4932.905510052229,0.009615384615384612,1
2021,Cartagena,25-29,62,In-person,0,123,GP,47.43178375050219,4932.905510052229,0.009615384615384612,1
2021,Cartagena,25-29,62,In-person,0,126,GP,189.72713500200874,4932.905510052229,0.03846153846153844,2
2021,Cartagena,25-29,62,In-person,0,133,GP,237.1589187525109,4932.905510052229,0.04807692307692306,3
2021,Cartagena,25-29,62,In-person,0,134,GP,213.44302687725983,4932.905510052229,0.043269230769230754,3
2021,Cartagena,25-29,62,In-person,0,151,GP,260.87481062776203,4932.905510052229,0.05288461538461537,3
2021,Cartagena,25-29,62,In-person,0,154,GP,118.57945937625547,4932.905510052229,0.02403846153846153,1
2021,Cartagena,25-29,62,In-person,0,235,GP,308.3065943782642,4932.905510052229,0.06249999999999998,4
2021,Cartagena,25-29,62,In-person,0,236,GP,355.7383781287664,4932.905510052229,0.07211538461538458,4
2021,Cartagena,25-29,62,In-person,0,266,GP,71.1476756257533,4932.905510052229,0.01442307692307692,1
2021,Cartagena,25-29,62,In-person,0,269,GP,94.86356750100438,4932.905510052229,0.019230769230769225,1
2021,Cartagena,25-29,62,In-person,0,271,GP,71.1476756257533,4932.905510052229,0.01442307692307692,1
2021,Cartagena,30-34,62,In-person,0,95,GP,308.3065943782642,4932.905510052229,0.06249999999999998,4
2021,Cartagena,30-34,62,In-person,0,96,GP,355.7383781287664,4932.905510052229,0.07211538461538458,4
2021,Cartagena,30-34,62,In-person,0,99,GP,355.7383781287664,4932.905510052229,0.07211538461538458,4
2021,Cartagena,30-34,62,In-person,0,102,GP,71.1476756257533,4932.905510052229,0.01442307692307692,1
2021,Cartagena,30-34,62,In-person,0,103,GP,71.1476756257533,4932.905510052229,0.01442307692307692,1
2021,Cartagena,30-34,62,In-person,0,109,GP,47.43178375050219,4932.905510052229,0.009615384615384612,1
2021,Cartagena,30-34,62,In-person,0,111,GP,142.29535125150656,4932.905510052229,0.028846153846153837,2
2021,Cartagena,30-34,62,In-person,0,112,GP,308.3065943782642,4932.905510052229,0.06249999999999998,4
2021,Cartagena,30-34,62,In-person,0,113,GP,71.1476756257533,4932.905510052229,0.01442307692307692,1
2021,Cartagena,30-34,62,In-person,0,116,GP,94.86356750100438,4932.905510052229,0.019230769230769225,1
2021,Cartagena,30-34,62,In-person,0,117,GP,118.57945937625547,4932.905510052229,0.02403846153846153,1
2021,Cartagena,30-34,62,In-person,0,118,GP,71.1476756257533,4932.905510052229,0.01442307692307692,1
2021,Cartagena,30-34,62,In-person,0,119,GP,47.43178375050219,4932.905510052229,0.009615384615384612,1
2021,Cartagena,30-34,62,In-person,0,121,GP,118.57945937625547,4932.905510052229,0.02403846153846153,1
2021,Cartagena,30-34,62,In-person,0,122,GP,47.43178375050219,4932.905510052229,0.009615384615384612,1
2021,Cartagena,30-34,62,In-person,0,123,GP,47.43178375050219,4932.905510052229,0.009615384615384612,1
2021,Cartagena,30-34,62,In-person,0,126,GP,189.72713500200874,4932.905510052229,0.03846153846153844,2
2021,Cartagena,30-34,62,In-person,0,133,GP,237.1589187525109,4932.905510052229,0.04807692307692306,3
2021,Cartagena,30-34,62,In-person,0,134,GP,213.44302687725983,4932.905510052229,0.043269230769230754,3
2021,Cartagena,30-34,62,In-person,0,151,GP,260.87481062776203,4932.905510052229,0.05288461538461537,3
2021,Cartagena,30-34,62,In-person,0,154,GP,118.57945937625547,4932.905510052229,0.02403846153846153,1
2021,Cartagena,30-34,62,In-person,0,235,GP,308.3065943782642,4932.905510052229,0.06249999999999998,4
2021,Cartagena,30-34,62,In-person,0,236,GP,355.7383781287664,4932.905510052229,0.07211538461538458,4
2021,Cartagena,30-34,62,In-person,0,266,GP,71.1476756257533,4932.905510052229,0.01442307692307692,1
2021,Cartagena,30-34,62,In-person,0,269,GP,94.86356750100438,4932.905510052229,0.019230769230769225,1
2021,Cartagena,30-34,62,In-person,0,271,GP,71.1476756257533,4932.905510052229,0.01442307692307692,1
2021,Cartagena,35-39,62,In-person,0,95,GP,308.3065943782642,4932.905510052229,0.06249999999999998,4
2021,Cartagena,35-39,62,In-person,0,96,GP,355.7383781287664,4932.905510052229,0.07211538461538458,4
2021,Cartagena,35-39,62,In-person,0,99,GP,355.7383781287664,4932.905510052229,0.07211538461538458,4
2021,Cartagena,35-39,62,In-person,0,102,GP,71.1476756257533,4932.905510052229,0.01442307692307692,1
2021,Cartagena,35-39,62,In-person,0,103,GP,71.1476756257533,4932.905510052229,0.01442307692307692,1
2021,Cartagena,35-39,62,In-person,0,109,GP,47.43178375050219,4932.905510052229,0.009615384615384612,1
2021,Cartagena,35-39,62,In-person,0,111,GP,142.29535125150656,4932.905510052229,0.028846153846153837,2
2021,Cartagena,35-39,62,In-person,0,112,GP,308.3065943782642,4932.905510052229,0.06249999999999998,4
2021,Cartagena,35-39,62,In-person,0,113,GP,71.1476756257533,4932.905510052229,0.01442307692307692,1
2021,Cartagena,35-39,62,In-person,0,116,GP,94.86356750100438,4932.905510052229,0.019230769230769225,1
2021,Cartagena,35-39,62,In-person,0,117,GP,118.57945937625547,4932.905510052229,0.02403846153846153,1
2021,Cartagena,35-39,62,In-person,0,118,GP,71.1476756257533,4932.905510052229,0.01442307692307692,1
2021,Cartagena,35-39,62,In-person,0,119,GP,47.43178375050219,4932.905510052229,0.009615384615384612,1
2021,Cartagena,35-39,62,In-person,0,121,GP,118.57945937625547,4932.905510052229,0.02403846153846153,1
2021,Cartagena,35-39,62,In-person,0,122,GP,47.43178375050219,4932.905510052229,0.009615384615384612,1
2021,Cartagena,35-39,62,In-person,0,123,GP,47.43178375050219,4932.905510052229,0.009615384615384612,1
2021,Cartagena,35-39,62,In-person,0,126,GP,189.72713500200874,4932.905510052229,0.03846153846153844,2
2021,Cartagena,35-39,62,In-person,0,133,GP,237.1589187525109,4932.905510052229,0.04807692307692306,3
2021,Cartagena,35-39,62,In-person,0,134,GP,213.44302687725983,4932.905510052229,0.043269230769230754,3
2021,Cartagena,35-39,62,In-person,0,151,GP,260.87481062776203,4932.905510052229,0.05288461538461537,3
2021,Cartagena,35-39,62,In-person,0,154,GP,118.57945937625547,4932.905510052229,0.02403846153846153,1
2021,Cartagena,35-39,62,In-person,0,235,GP,308.3065943782642,4932.905510052229,0.06249999999999998,4
2021,Cartagena,35-39,62,In-person,0,236,GP,355.7383781287664,4932.905510052229,0.07211538461538458,4
2021,Cartagena,35-39,62,In-person,0,266,GP,71.1476756257533,4932.905510052229,0.01442307692307692,1
2021,Cartagena,35-39,62,In-person,0,269,GP,94.86356750100438,4932.905510052229,0.019230769230769225,1
2021,Cartagena,35-39,62,In-person,0,271,GP,71.1476756257533,4932.905510052229,0.01442307692307692,1
2021,Cartagena,40-44,73,In-person,0,95,GP,308.3065943782642,4932.905510052229,0.06249999999999998,5
2021,Cartagena,40-44,73,In-person,0,96,GP,355.7383781287664,4932.905510052229,0.07211538461538458,5
2021,Cartagena,40-44,73,In-person,0,99,GP,355.7383781287664,4932.905510052229,0.07211538461538458,5
2021,Cartagena,40-44,73,In-person,0,102,GP,71.1476756257533,4932.905510052229,0.01442307692307692,1
2021,Cartagena,40-44,73,In-person,0,103,GP,71.1476756257533,4932.905510052229,0.01442307692307692,1
2021,Cartagena,40-44,73,In-person,0,109,GP,47.43178375050219,4932.905510052229,0.009615384615384612,1
2021,Cartagena,40-44,73,In-person,0,111,GP,142.29535125150656,4932.905510052229,0.028846153846153837,2
2021,Cartagena,40-44,73,In-person,0,112,GP,308.3065943782642,4932.905510052229,0.06249999999999998,5
2021,Cartagena,40-44,73,In-person,0,113,GP,71.1476756257533,4932.905510052229,0.01442307692307692,1
2021,Cartagena,40-44,73,In-person,0,116,GP,94.86356750100438,4932.905510052229,0.019230769230769225,1
2021,Cartagena,40-44,73,In-person,0,117,GP,118.57945937625547,4932.905510052229,0.02403846153846153,2
2021,Cartagena,40-44,73,In-person,0,118,GP,71.1476756257533,4932.905510052229,0.01442307692307692,1
2021,Cartagena,40-44,73,In-person,0,119,GP,47.43178375050219,4932.905510052229,0.009615384615384612,1
2021,Cartagena,40-44,73,In-person,0,121,GP,118.57945937625547,4932.905510052229,0.02403846153846153,2
2021,Cartagena,40-44,73,In-person,0,122,GP,47.43178375050219,4932.905510052229,0.009615384615384612,1
2021,Cartagena,40-44,73,In-person,0,123,GP,47.43178375050219,4932.905510052229,0.009615384615384612,1
2021,Cartagena,40-44,73,In-person,0,126,GP,189.72713500200874,4932.905510052229,0.03846153846153844,3
2021,Cartagena,40-44,73,In-person,0,133,GP,237.1589187525109,4932.905510052229,0.04807692307692306,4
2021,Cartagena,40-44,73,In-person,0,134,GP,213.44302687725983,4932.905510052229,0.043269230769230754,3
2021,Cartagena,40-44,73,In-person,0,151,GP,260.87481062776203,4932.905510052229,0.05288461538461537,4
2021,Cartagena,40-44,73,In-person,0,154,GP,118.57945937625547,4932.905510052229,0.02403846153846153,2
2021,Cartagena,40-44,73,In-person,0,235,GP,308.3065943782642,4932.905510052229,0.06249999999999998,5
2021,Cartagena,40-44,73,In-person,0,236,GP,355.7383781287664,4932.905510052229,0.07211538461538458,5
2021,Cartagena,40-44,73,In-person,0,266,GP,71.1476756257533,4932.905510052229,0.01442307692307692,1
2021,Cartagena,40-44,73,In-person,0,269,GP,94.86356750100438,4932.905510052229,0.019230769230769225,1
2021,Cartagena,40-44,73,In-person,0,271,GP,71.1476756257533,4932.905510052229,0.01442307692307692,1
2021,Cartagena,45-49,66,In-person,0,95,GP,308.3065943782642,4932.905510052229,0.06249999999999998,4
2021,Cartagena,45-49,66,In-person,0,96,GP,355.7383781287664,4932.905510052229,0.07211538461538458,5
2021,Cartagena,45-49,66,In-person,0,99,GP,355.7383781287664,4932.905510052229,0.07211538461538458,5
2021,Cartagena,45-49,66,In-person,0,102,GP,71.1476756257533,4932.905510052229,0.01442307692307692,1
2021,Cartagena,45-49,66,In-person,0,103,GP,71.1476756257533,4932.905510052229,0.01442307692307692,1
2021,Cartagena,45-49,66,In-person,0,109,GP,47.43178375050219,4932.905510052229,0.009615384615384612,1
2021,Cartagena,45-49,66,In-person,0,111,GP,142.29535125150656,4932.905510052229,0.028846153846153837,2
